δραχμή|1406
δρούσιλλα|1409
δράκων|1404
δράσσομαι|1405
δρέπανον|1407
δρόμος|1408
δυναμόω|1412
δυνατέω|1414
δυνατός|1415
δυνάστης|1413
δυσβάστακτος|1419
δυσεντερία|1420
δυσερμήνευτος|1421
δυσκόλως|1423
δυσμή|1424
δυσνόητος|1425
δυσφημία|1426
δωδεκάφυλον|1429
δωδέκατος|1428
δωρεά|1431
δωρεάν|1432
δωρέομαι|1433
δάκνω|1143
δάκρυον|1144
δάκτυλος|1147
δάμαλις|1151
δάμαρις|1152
δάνειον|1156
δέ|1161
δέησις|1162
δέκα|1176
δέκατος|1182
δένδρον|1186
δέομαι|1189
δέρβη|1191
δέρμα|1192
δέρω|1194
δέσμη|1197
δέσμιος|1198
δέχομαι|1209
δέω|1210
δή|1211
δήποτε|1221
δήπου|1222
δίδραχμον|1323
δίδυμος|1324
δίδωμι|1325
δίκαιος|1342
δίκη|1349
δίκτυον|1350
δίλογος|1351
δίς|1364
δίστομος|1366
δίψος|1373
δίψυχος|1374
δόγμα|1378
δόκιμος|1384
δόλιος|1386
δόλος|1388
δόμα|1390
δόξα|1391
δόσις|1394
δότης|1395
δύναμαι|1410
δύναμις|1411
δύνω|1416
δύο|1417
δύσκολος|1422
δώδεκα|1427
δώρημα|1434
δῆλος|1212
δῆμος|1218
δῶμα|1430
δῶρον|1435
εἰ δὲ μήγε|1490
εἰ|1487
εἰδωλεῖον|1493
εἰδωλολατρεία|1495
εἰδωλολάτρης|1496
εἰδωλόθυτος|1494
εἰκών|1504
εἰκῇ|1500
εἰλικρινής|1506
εἰλικρίνεια|1505
εἰμί|1510
εἰρηνεύω|1514
εἰρηνικός|1516
εἰρηνοποιέω|1517
εἰρηνοποιός|1518
εἰρήνη|1515
εἰς|1519
εἰσακούω|1522
εἰσδέχομαι|1523
εἰσκαλέομαι|1528
εἰσπηδάω|1530
εἰσπορεύομαι|1531
εἰστρέχω|1532
εἰσφέρω|1533
εἰσάγω|1521
εἰσέρχομαι|1525
εἴγε|1489
εἴδωλον|1497
εἴκοσι|1501
εἴκω|1502
εἴπερ|1512
εἴσειμι|1524
εἴσοδος|1529
εἴτε|1535
εἴωθα|1486
εἶδος|1491
εἶτα|1534
εἷς|1520
εὐαγγελιστής|2099
εὐαγγελίζω|2097
εὐαγγέλιον|2098
εὐαρεστέω|2100
εὐαρέστως|2102
εὐγενής|2104
εὐδοκέω|2106
εὐδοκία|2107
εὐδία|2105
εὐεργεσία|2108
εὐεργετέω|2109
εὐεργέτης|2110
εὐθυδρομέω|2113
εὐθυμέω|2114
εὐθέως|2112
εὐθύνω|2116
εὐθύς|2117
εὐθύτης|2118
εὐκαιρέω|2119
εὐκαιρία|2120
εὐκαίρως|2122
εὐκοπώτερον|2123
εὐλαβέομαι|2125
εὐλαβής|2126
εὐλογητός|2128
εὐλογέω|2127
εὐλογία|2129
εὐλάβεια|2124
εὐμετάδοτος|2130
εὐνουχίζω|2134
εὐνοέω|2132
εὐνοῦχος|2135
εὐνίκη|2131
εὐοδία|2136
εὐοδόω|2137
εὐπειθής|2138
εὐπερίστατος|2139
εὐποιία|2140
εὐπορέω|2141
εὐπορία|2142
εὐπροσωπέω|2146
εὐπρέπεια|2143
εὐπρόσδεκτος|2144
εὐπρόσεδρος|2145
εὐροκλύδων|2148
εὐρύχωρος|2149
εὐσεβέω|2151
εὐσεβής|2152
εὐσεβῶς|2153
εὐσχημοσύνη|2157
εὐσχημόνως|2156
εὐσχήμων|2158
εὐσέβεια|2150
εὐτραπελία|2160
εὐτόνως|2159
εὐφημία|2162
εὐφορέω|2164
εὐφραίνω|2165
εὐφροσύνη|2167
εὐφράτης|2166
εὐχαριστέω|2168
εὐχαριστία|2169
εὐχάριστος|2170
εὐχή|2171
εὐψυχέω|2174
εὐωδία|2175
εὐάρεστος|2101
εὐώνυμος|2176
εὑρίσκω|2147
εὔα|2096
