ἄριστον|n714
ἀρκετός|n715
ἀρκέω|n716
ἅρκος|n717
ἅρμα|n718
ἁρμαγεδών|n719
ἁρμόζω|n720
ἁρμός|n721
ἀρνέομαι|n722
ἀρνίον|n723
άροικος|n3842
ἀροτριάω|n724
ἄροτρον|n725
ἁρπαγή|n726
ἁρπαγμός|n727
ἁρπάζω|n728
ἅρπαξ|n729
ἀρραβών|n730
ἄρρητος|n733
ἄρρωστος|n734
ἀρσενοκοίτης|n735
ἄρσην|n732
ἀρτεμᾶς|n736
ἄρτεμις|n737
ἀρτέμων|n738
ἄρτι|n739
ἀρτιγέννητος|n740
ἄρτιος|n741
ἄρτος|n742
ἀρτύω|n743
ἀρύσσω|n3637
ἀρφαξάδ|n744
ἀρχάγγελος|n745
ἀρχαῖος|n746
ἀρχέλαος|n747
ἀρχή|n748
ἀρχηγός|n749
ἀρχιερατικός|n750
ἀρχιερεύς|n751
ἀρχιποίμην|n752
ἄρχιππος|n753
ἀρχισυνάγωγος|n754
ἀρχιτέκτων|n755
ἀρχιτελώνης|n756
ἀρχιτρίκλινος|n757
ἄρχω|@
ἄρχων|n760
ἄρωμα|n761
ἀσάλευτος|n763
ἀσάφ|n762
ἄσβεστος|n764
ἀσέβεια|n765
ἀσεβέω|n766
ἀσεβής|n767
ἀσέλγεια|n768
ἄσημος|n769
ἀσήρ|n770
ἀσθένεια|n771
ἀσθενέω|n772
ἀσθένημα|n773
ἀσθενής ές|n774
ἀσία|n775
ἀσιαός|n776
ἀσιάρχης|n777
ἀσιτία|n778
ἄσιτος|n779
ἀσκέω|n780
ἀσκός|n781
ἀσμένως|n782
ἄσοθος|n783
ἀσπάζομαι|n784
ἀσπασμός|n785
ἄσπιλος|n786
ἀσπίς|n787
ἄσπονδος|n788
ἀσσάριον|n789
ἆσσον|n790
ἄσσος|n791
ἀστατέω|n792
ἀστεῖος|n793
ἀστήρ|n794
ἀστήρικτος|n795
ἄστοργος|n796
ἀστοχέω|n797
ἀστραπή|n798
ἀστράπτω|n799
ἄστρον|n800
ἀσύμφωνος|n802
ἀσύνετος|n803
ἀσύνθετος|n804
ἀσύνκριτος|n801
ἀσφάλεια|n805
ἀσφαλής|n806
ἀσφαλίζω|n807
ἀσφαλῶς|n808
ἀσχημονέω|n809
ἀσχημοσύνη|n810
ἀσχήμων|n811
ἀσωτία|n812
ἀσώτως|n813
ἀτακτέω ῶ|n814
ἀτακτος|n815
ἀτάκτως|n816
ἄτεκνος|n817
ἀτενίζω|n818
ἄτερ|n819
ἀτιμάζω|n820
ἀτιμία|n821
ἄτιμος|n822
ἀτιμόω|n823
ἀτμίς|n824
ἄτομος|n825
ἄτοπος|n826
ατρωννύω or στρώννυμι|n4667
ἀτταλία|n827
ἀυαβλέπω|n310
αὐγάζω|n828
αὐγή|n829
αὔγουστος|n830
αὐθάδης|n831
αὐθαίρετος|n832
αὐθεντέω|n833
αὐλέω|n834
αὐλή|n835
αὐλητής|n836
αὐλίζομαι|n837
αὐλός|n838
αὐξάνω|n839
αὔξησις|n840
αὔριον|n841
αὐστηρός|n842
αὐτάρκεια|n843
αὐτάρκης|n844
αὐτοκατάκριτος|n845
αὐτόματος|n846
αὐτόπτης|n847
αὐτός|n848
αὐτοῦ|n849
αὑτοῦ|n850
αὐτόφωρος|n1890
αὐτόχειρ|n851
αὐχμηρός|n852
ἀφαιρέω|n853
ἀφανής|n854
ἀφανίζω|n855
ἀφανισμός|n856
ἄφαντος|n857
ἀφεδρών|n858
ἀφειδία (L|n859
ἀφελότης|n860
ἄφεσις|n861
ἁφή|n862
ἀφθαρσία|n863
ἄφθαρτος|n864
ἀφίημι|n865
ἀφικνέομαι|n866
ἀφιλάγαθος|n867
ἀφιλάργυρος|n868
ἄφιξις|n869
ἀφίστημι|n870
ἄφνω|n871
ἀφόβως|n872
ἀφομοιόω|n873
ἀφοράω|n874
ἀφορίζω|n875
ἀφορμή|n876
ἀφρίζω|n877
ἀφρός|n878
ἀφροσύνη|n879
ἄφρων|n880
ἀφυπιόω|n881
ἀφωνος|n882
ἄχαζ|n883
ἀχαία|n884
ἀχαικός|n885
ἀχάριστος|n886
ἀχείμ|n887
ἀχειροποίητος|n888
ἀχελδαμάχ|n186
ἀχλύς|n889
ἀχρεῖος|n890
ἀχρεόω|n891
άχρηατος|n892
ἄχρι|n893
ἄχυρον|n894
ἀψευδής|n895
ἄψινθος|n896
ἄψυχος|n897
βάαλ|n898
βαβυλών|n899
βαθμός|n900
βάθος|n901
βαθύνω|n902
βαθύς|n903
βαίον|n904
βαλαάμ|n905
βαλάκ|n906
βαλλάντιον|n907
βἀλλω|n908
βαπτίζω|n909
βάπτισμα|n910
βαπτισμός|n911
βαπτιστής|n912
βάπτω|n913
βαραββᾶς|n914
βαράκ|n915
βαραχίας|n916
βάρβαρος|n917
βαρέω|n918
βαρέως|n919
βαρθολομαῖος|n920
βαριησοῦς|n921
βαριωνᾶς|n922
βαρνάβας|n923
βάρος|n924
βαρσαββᾶς|n925
βαρτίμαιος|n926
βαρύνω|n927
βαρύς|n928
βαρύτιμος|n929
βασανίζω|n930
βασανισμός|n931
βασανιστής|n932
βάσανος|n933
βασιλεία|n934
βασίλειον|n935
βασίλειος|n936
βασιλεύς|n937
βασιλεύω|n938
βασιλικός|n939
βασίλισσα|n940
βάσις|n941
βασκαίνω|n942
βαστάζω|n943
βάτος ου|n945
βάτος|n944
βάτραχος|n946
βατταλογέω|n947
βαύλομαι|n1016
βδέλυγμα|n948
βδελυκτός|n949
βδελύσσω|n950
βέβαιος|n951
βεβαιόω|n952
βεβαίωσις|n953
βέβηλος|n954
βεβηλόω|n955
βεεζεβούλ|n956
βελίαλ|n957
βελόνη|n958
βελτίων|n959
βενιαρείν|n960
βερνίκη|n961
βέροια|n962
βεροιαῖος|n963
βεώρ|n1009
βηθαβαρά|n964
βηθανία|n965
βηθεσδά|n966
βηθλεέμ|n967
βηθσαιδά|n968
βηθφαγή|n969
βῆμα|n970
βήρυλλος|n971
βία|n972
βιάζω|n973
βίαιος|n974
βιαστής|n975
βιβλαρίδιον|n976
βιβλίον|n977
βίβλος|n978
βιβρώσκω|n979
βιθυνία|n980
βίος|n981
βιόω|n982
βίωσις|n983
βιωτικός|n984
βλαβερός|n985
βλάπτω|n986
βλαστάνω|n987
βλάστος|n988
βλασφημέω|n989
βλασφημμία|n990
βλάσφημος|n991
βλέμμα|n992
βλέπω|n993
βλητέος|n994
βοανηργές|n995
βοάω|n996
βοή|n997
βοήθεια|n998
βοηθέω|n999
βοηθός|n1000
βόθυνος|n1001
βολή|n1002
βολίζω|n1003
βολίς|n1004
βοός and βοές|n1005
βόρβορος|n1006
βορρᾶς|n1007
βόσκω|n1008
βοτάνη|n1010
βότρυς|n1011
βουλευτής|n1012
βουλεύω|n1013
βουλή|n1014
βούλημα|n1015
βουνός|n1017
βοῦς|n1018
βραβεῖον|n1019
βραβεύω|n1020
βραδύνω|n1021
βραδυπλοέω|n1022
βραδύς|n1023
βραδυτής|n1024
βραχίων|n1025
βραχύς|n1026
βρέφος|n1027
βρέχω|n1028
βροντή|n1029
βροχή|n1030
βρόχος|n1031
βρυγμός|n1032
βρύχω|n1033
βρύω|n1034
βρῶμα|n1035
βρώσιμος|n1036
βρῶσις|n1037
βυθίζω|n1038
βυθός|n1039
βυρσεύς|n1040
βύσσινος|n1041
βύσσος|n1042
βωμός|n1043
γαββαθά|n1044
γαβριήλ|n1045
γάγγραινα|n1046
γάδ|n1047
γαδαρηνός|n1048
γάζα ης|n1050
γάζα|n1049
γαζοφυλάκιον|n1051
γαῖος|n1052
γάλα|n1053
γαλάτης|n1054
γαλατία|n1055
γαλατικός|n1056
γαλήνη|n1057
γαλιλαία|n1058
γαλιλαῖος|n1059
γαλλίων|n1060
γαμαλιήλ|n1061
γαμέω|n1062
γαμίσκω|n1063
γάμος|n1064
γάρ|n1065
γαστήρ|n1066
γε|n1067
γεδεών|n1068
γέεννα|n1069
γεθσημανεί|n1070
γείτων|n1071
γελάω|n1072
γέλως|n1073
γεμίζω|n1074
γέμω|n1075
γενεά|n1076
γενεαλογέω|n1077
γενεαλογία|n1078
γενέσια|n1079
γένεσις|n1080
γενετή|n1081
γένημα|n1083
γεννάω|n1082
γεννησαρέτ|n1084
γέννησις|n1085
γεννητός|n1086
γένος|n1087
γερασηνός|n1088
γερουσία|n1089
γέρως|n1090
γεύω|n1091
γεωργέω|n1092
γεώργιον|n1093
γεωργός|n1094
γῆ|n1095
γῆρας|n1096
γηράσκω|n1097
γίνομαι|n1098
γινώσκω|n1099
γλεῦκος (εος)|n1100
γλυκύς|n1101
γλῶσσα|n1102
γλωσσόκομον|n1103
γναφεύς|n1104
γνήσιος|n1105
γνησίως|n1106
γνόφος|n1107
γνώμη|n1108
γνωρίζω|n1109
γνώσιης|n1111
γνῶσις|n1110
γνωστός|n1112
γογγύζω|n1113
γογγυσμός|n1114
γογγυστής|n1115
γόης|n1116
γολγοθά|n1117
γόμορρα|n1118
γόμος|n1119
γονεύς|n1120
γόνυ|n1121
γονυπετέω|n1122
γράμμα|n1123
γραμματεύς|n1124
γραπτός|n1125
γραφή|n1126
γράφω|n1127
γραώδης|n1128
γρηγορέω|n1129
γυμνάζω|n1130
γυμνασία|n1131
γυμνιτεύω|n1132
γυμνός|n1133
